Left Elbow,Right Elbow,Left Knee,Right Knee
14.43067697,79.11169208,73.76208119,55.66440988
25.67177478,119.7483713,84.00508323,96.33643905
22.01358057,97.58359881,86.54622938,94.17144066
85.41641716,113.4921099,86.98607525,112.2503334
117.275882,102.6625021,91.57712496,124.9465518
14.79305492,87.88329887,91.07484022,130.7655743
11.25386297,83.53586774,71.30338692,120.9346708
24.74310516,94.1456155,65.28858079,129.8285772
60.17065219,102.1106904,56.33679851,104.5459325
37.38555746,107.64718,62.20203606,104.2314688
148.3438509,81.96145844,57.96092163,55.40990294
149.0375748,76.47163822,53.97668099,72.38664715
144.083431,56.71108203,54.19851459,63.35571737
113.6304752,78.33793127,60.02914212,61.67759419
104.577014,12.7991829,62.90404539,43.0083833
10.77525374,12.2185636,75.56346928,58.80381642
1.287743785,10.18041678,89.80250798,57.13565011
2.225262919,12.73922126,102.3916201,64.14464837
4.474632895,20.69253149,100.6484283,65.34055574
22.11582636,18.34862505,98.1855685,62.0842218
102.3968883,118.1826318,95.18942404,46.11522229
48.95286486,67.63586022,92.40656637,55.16545646
60.83232119,105.9961743,92.71168995,57.65030942
94.42410078,48.75364449,90.90967177,64.40420484
46.15308167,38.39549884,89.75641947,82.36307704
43.19135449,29.11797431,91.9436273,99.68827489
59.2070637,34.06666807,92.61756021,92.8308457
63.4604432,36.37077799,91.08638135,87.31788358
93.80212588,34.12932442,82.34066597,82.33293839
86.85717832,56.74811619,84.17022918,92.44596047
50.53195606,28.13957202,113.4898388,125.1577935
73.49509548,55.44050456,109.9495638,138.5218031
8.015953404,85.68349123,128.4869119,147.4780321
8.197151264,89.07198383,128.0576461,145.2763732
16.57992145,101.9896641,126.460362,149.2427613
13.8831427,76.39329886,112.2191129,143.8973519
12.37456503,69.53394721,105.8538142,140.3158317
10.84610695,84.75818063,108.8461314,142.784607
11.35348873,89.49607491,111.2723006,144.3230296
9.415468753,93.52366641,117.7988374,145.9335975
10.89664753,96.60981159,122.0386974,147.131963
10.32620491,99.49137302,123.1906264,147.263974
5.009932465,92.29279882,126.0170864,146.9199729
16.10077424,88.63354167,127.9709852,145.3631241
13.54814966,98.62649153,128.1669818,145.6877456
12.71470042,81.11652313,128.6850775,146.2973875
11.95907499,85.22104457,128.1424615,145.0534909
10.71033137,100.0328848,125.5754283,145.2403329
14.09226856,88.01012037,127.9000754,146.8440209
41.92227925,98.62880391,116.0523925,138.9398205
49.78843637,86.11065942,93.68027157,130.0413155
64.15371122,98.18957281,75.6487439,115.8268195
36.70248696,66.57353273,60.37500223,84.37846789
11.21039139,79.5226977,33.76555721,38.24010643
14.5276584,12.5115731,52.08862199,75.90867169
12.96504907,8.099321754,53.93377604,69.73363605
12.63153293,6.635517038,56.84587174,72.33264229
9.618906072,6.054362815,54.16385919,67.56643117
10.59153101,9.052066055,46.82517352,57.38194298
10.86386456,11.41536901,46.18459424,45.94246894
11.35332291,100.6779838,87.55147951,112.1853287
11.83500773,96.32481085,115.8864739,149.8981736
15.95529168,98.53974208,116.2944123,156.5975233
18.01594968,76.06590218,97.45173992,157.87472
22.83337322,84.16571141,102.7741988,153.868652
22.58705426,73.99662755,116.7095265,143.0226221
18.45768346,31.03496197,112.9887859,154.8103461
12.73554235,66.32426777,131.7662879,152.2219074
14.77871123,81.87300261,128.9585752,143.8178755
17.4939813,35.06232823,115.6429348,115.681457
21.76960795,28.56692241,86.16470934,84.83510857
28.522098,35.64264205,85.20930887,79.98230472
33.30468759,49.50460295,97.13069572,95.82380818
21.15502656,72.64401448,119.637404,126.8293115
19.40053426,85.51506956,122.5537883,144.3772995
46.79433593,61.37031923,89.4249181,156.1357241
60.12048215,65.83243342,103.7499083,155.5774549
75.92293634,26.37554379,121.732781,156.91946
74.36819946,41.03322226,116.384577,154.1439075
77.16681692,88.8754738,100.92381,127.4283638
96.36807846,82.56672414,118.7835329,113.9097465
57.11195104,72.33991928,110.2012297,88.32272368
35.2188818,75.01152247,122.6879785,89.51045429
27.79297157,79.97169716,133.7398712,79.67476796
24.78754463,120.6117233,145.2459883,82.09345485
25.25348495,100.4512165,145.1667345,62.97114136
30.66172753,121.2199062,144.8061824,53.92465894
54.10865693,128.0423976,140.0175921,71.53027808
72.73857076,114.5353182,131.4117001,94.10709194
106.9338669,54.55327828,76.33097937,82.05816965
